time,average_c,flux_imbalance,left_outward_flux,linear_profile_l2_error,mesh_elements,mesh_nodes,right_bulk_flux,right_gb_excess_flux,right_outward_flux
0,0,0,0,0,0,0,0,0,0
1,0.48694160155171,1.7834111285026e-31,-9.1131492115482e-19,1.9779816593818e-06,6007,2700,2.5176560953525e-20,8.8613836020147e-19,9.11314921155e-19
