time,average_c,flux_imbalance,left_outward_flux,linear_profile_l2_error,mesh_elements,mesh_nodes,right_bulk_flux,right_gb_excess_flux,right_outward_flux
0,0,0,0,0,0,0,0,0,0
1,0.5,-3.4606553688208e-34,-2.5e-20,3.6415575012302e-19,6007,2700,2.5e-20,-0,2.5e-20
